post_id,likes,shares,comments,post_type,views,description,username,datetime,content,metadata
45,776,180,150,video,23590,"""Get ready to vibe with us! Discover the ultimate playlist for your next workout, study session, or cozy night in - a curated mix of energetic beats & soothing melodies that'll take you on a musical journey!""",@Dark-Knight499,2024-10-22 14:00:00,"""Get ready to vibe with us! Discover the ultimate playlist for your next workout, study session, or cozy night in - a curated mix of energetic beats & soothing melodies that'll take you on a musical journey!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-10-22 14:00:00"", ""post_type"": ""video"", ""post_id"": 45, ""likes"": 776, ""shares"": 180, ""comments"": 150, ""views"": 23590}"
46,11,35,192,reels,38255,"""GET READY FOR THE ULTIMATE SPORTS FEVER! From thrilling championships to record-breaking records, we're counting down the most electrifying moments in sports history. Who's your all-time favorite athlete? Share with us and let's get this conversation started!""",@CodeWithDubeyji,2025-01-01 15:00:00,"""GET READY FOR THE ULTIMATE SPORTS FEVER! From thrilling championships to record-breaking records, we're counting down the most electrifying moments in sports history. Who's your all-time favorite athlete? Share with us and let's get this conversation started!""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2025-01-01 15:00:00"", ""post_type"": ""reels"", ""post_id"": 46, ""likes"": 11, ""shares"": 35, ""comments"": 192, ""views"": 38255}"
47,635,433,170,reels,43438,"""Get lost in the pages of a good book! Discover new worlds, meet intriguing characters, and escape reality with our curated collection of must-read novels, from classics to contemporary bestsellers - what's your favorite book to get swept away by? #BookLovers #ReadingIsLife #MustRead""",@CodeWithDubeyji,2024-11-26 10:00:00,"""Get lost in the pages of a good book! Discover new worlds, meet intriguing characters, and escape reality with our curated collection of must-read novels, from classics to contemporary bestsellers - what's your favorite book to get swept away by? #BookLovers #ReadingIsLife #MustRead""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2024-11-26 10:00:00"", ""post_type"": ""reels"", ""post_id"": 47, ""likes"": 635, ""shares"": 433, ""comments"": 170, ""views"": 43438}"
48,679,313,277,carousel,16041,"""Get ready to level up! Discover the latest innovations in AI, blockchain, and cybersecurity that's changing the game in tech. From smart homes to self-driving cars, we're exploring the future of tech and what it means for our world #TechAdvancements #InnovationNation""",@tech_guru,2024-09-24 01:00:00,"""Get ready to level up! Discover the latest innovations in AI, blockchain, and cybersecurity that's changing the game in tech. From smart homes to self-driving cars, we're exploring the future of tech and what it means for our world #TechAdvancements #InnovationNation""","{""username"": ""@tech_guru"", ""datetime"": ""2024-09-24 01:00:00"", ""post_type"": ""carousel"", ""post_id"": 48, ""likes"": 679, ""shares"": 313, ""comments"": 277, ""views"": 16041}"
49,375,207,143,carousel,21541,"""Get lost in a world of words! Discover your new favorite book, join a book club, or revisit an old favorite. What's on your reading list this month? Share with us! #BookLovers #ReadingIsFun #NewReads""",@GaneshMishra-lab,2024-12-28 01:00:00,"""Get lost in a world of words! Discover your new favorite book, join a book club, or revisit an old favorite. What's on your reading list this month? Share with us! #BookLovers #ReadingIsFun #NewReads""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-12-28 01:00:00"", ""post_type"": ""carousel"", ""post_id"": 49, ""likes"": 375, ""shares"": 207, ""comments"": 143, ""views"": 21541}"
50,23,314,270,carousel,33257,"""Just devoured the most mouthwatering Korean BBQ tacos at my favorite food truck! Spicy Gochujang sauce, crispy kimchi slaw, and tender bulgogi beef - a flavor explosion that left me craving for more!""",@Dark-Knight499,2025-01-08 03:00:00,"""Just devoured the most mouthwatering Korean BBQ tacos at my favorite food truck! Spicy Gochujang sauce, crispy kimchi slaw, and tender bulgogi beef - a flavor explosion that left me craving for more!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2025-01-08 03:00:00"", ""post_type"": ""carousel"", ""post_id"": 50, ""likes"": 23, ""shares"": 314, ""comments"": 270, ""views"": 33257}"
51,663,451,81,carousel,30453,"""Can music evoke emotions, spark memories, or transport us to another time and place? For me, it's more than just a melody - it's a connection to myself, my past, and the world around me. Share with me your favorite songs that move you, make you think, or bring back memories!""",@Dark-Knight499,2024-09-15 21:00:00,"""Can music evoke emotions, spark memories, or transport us to another time and place? For me, it's more than just a melody - it's a connection to myself, my past, and the world around me. Share with me your favorite songs that move you, make you think, or bring back memories!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-09-15 21:00:00"", ""post_type"": ""carousel"", ""post_id"": 51, ""likes"": 663, ""shares"": 451, ""comments"": 81, ""views"": 30453}"
52,460,340,177,video,36230,"""Unlocking a future where tech seamlessly weaves into our daily lives! From AI-powered assistants to virtual reality escapes, the latest innovations are revolutionizing the way we live, work, and play. What's your take on the latest tech trends? Share with us in the comments!""",@foodie_lover,2024-12-28 05:00:00,"""Unlocking a future where tech seamlessly weaves into our daily lives! From AI-powered assistants to virtual reality escapes, the latest innovations are revolutionizing the way we live, work, and play. What's your take on the latest tech trends? Share with us in the comments!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-12-28 05:00:00"", ""post_type"": ""video"", ""post_id"": 52, ""likes"": 460, ""shares"": 340, ""comments"": 177, ""views"": 36230}"
53,815,238,156,carousel,28243,"""Get lost in the pages of a good book! Discover new worlds, meet fascinating characters, and escape reality with our curated list of must-read novels. From classic tales to modern thrillers, we've got you covered! What's your favorite book of all time? Share with us and let's get the conversation started!""",@music_fanatic,2024-10-21 20:00:00,"""Get lost in the pages of a good book! Discover new worlds, meet fascinating characters, and escape reality with our curated list of must-read novels. From classic tales to modern thrillers, we've got you covered! What's your favorite book of all time? Share with us and let's get the conversation started!""","{""username"": ""@music_fanatic"", ""datetime"": ""2024-10-21 20:00:00"", ""post_type"": ""carousel"", ""post_id"": 53, ""likes"": 815, ""shares"": 238, ""comments"": 156, ""views"": 28243}"
54,857,383,101,video,43567,"""Get lost in the pages of a good book! What's your favorite novel that has changed your life or transported you to another world? Share with us and let's dive into a new adventure together!""",@foodie_lover,2024-11-12 15:00:00,"""Get lost in the pages of a good book! What's your favorite novel that has changed your life or transported you to another world? Share with us and let's dive into a new adventure together!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-11-12 15:00:00"", ""post_type"": ""video"", ""post_id"": 54, ""likes"": 857, ""shares"": 383, ""comments"": 101, ""views"": 43567}"
55,389,303,255,live stream,49538,"""Get ready for a cinematic escape! From action-packed blockbusters to heartwarming rom-coms, we're counting down the top movie quotes that'll leave you laughing, crying, and quoting along with us! Which iconic line is your favorite? Share with us in the comments below!""",@Dark-Knight499,2025-01-05 03:00:00,"""Get ready for a cinematic escape! From action-packed blockbusters to heartwarming rom-coms, we're counting down the top movie quotes that'll leave you laughing, crying, and quoting along with us! Which iconic line is your favorite? Share with us in the comments below!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2025-01-05 03:00:00"", ""post_type"": ""live stream"", ""post_id"": 55, ""likes"": 389, ""shares"": 303, ""comments"": 255, ""views"": 49538}"
56,195,31,155,static image,14671,"""Get lost in a world of pages and imagination! Discover new authors, explore hidden genres, and escape reality with our curated bookshelf of must-reads and hidden gems - what's your favorite book to get lost in? Share with us!""",@GaneshMishra-lab,2024-10-10 09:00:00,"""Get lost in a world of pages and imagination! Discover new authors, explore hidden genres, and escape reality with our curated bookshelf of must-reads and hidden gems - what's your favorite book to get lost in? Share with us!""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-10-10 09:00:00"", ""post_type"": ""static image"", ""post_id"": 56, ""likes"": 195, ""shares"": 31, ""comments"": 155, ""views"": 14671}"
57,446,165,286,carousel,7435,"""Just devoured the most mouthwatering Korean BBQ tacos at my new favorite spot! Spicy, sweet, and utterly addictive - I'm already planning my next visit to try more flavors!""",@music_fanatic,2024-11-25 13:00:00,"""Just devoured the most mouthwatering Korean BBQ tacos at my new favorite spot! Spicy, sweet, and utterly addictive - I'm already planning my next visit to try more flavors!""","{""username"": ""@music_fanatic"", ""datetime"": ""2024-11-25 13:00:00"", ""post_type"": ""carousel"", ""post_id"": 57, ""likes"": 446, ""shares"": 165, ""comments"": 286, ""views"": 7435}"
58,569,473,141,live stream,29328,"""Just devoured the most mouthwatering Korean BBQ tacos at a street food market in LA! The combination of spicy Gochujang sauce, juicy bulgogi beef, and crunchy kimchi slaw on a crispy taco shell is absolute perfection. Who else is craving international flavors tonight? #foodie #koreanfood #streetfood""",@CodeWithDubeyji,2024-10-31 14:00:00,"""Just devoured the most mouthwatering Korean BBQ tacos at a street food market in LA! The combination of spicy Gochujang sauce, juicy bulgogi beef, and crunchy kimchi slaw on a crispy taco shell is absolute perfection. Who else is craving international flavors tonight? #foodie #koreanfood #streetfood""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2024-10-31 14:00:00"", ""post_type"": ""live stream"", ""post_id"": 58, ""likes"": 569, ""shares"": 473, ""comments"": 141, ""views"": 29328}"
59,608,176,11,static image,15987,"""Just when I think I've heard it all, a new melody strikes my soul! Music has this way of transporting me to another world, evoking emotions I never knew existed. What's your favorite song that takes you on an adventure? Share with us in the comments below!""",@Dark-Knight499,2024-10-23 23:00:00,"""Just when I think I've heard it all, a new melody strikes my soul! Music has this way of transporting me to another world, evoking emotions I never knew existed. What's your favorite song that takes you on an adventure? Share with us in the comments below!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-10-23 23:00:00"", ""post_type"": ""static image"", ""post_id"": 59, ""likes"": 608, ""shares"": 176, ""comments"": 11, ""views"": 15987}"
60,183,485,89,video,12444,"""Get lost in a world beyond your own! Discover new favorite authors, embark on thrilling adventures, and escape reality with our curated book picks. Follow us for book recommendations, author spotlights, and reading challenges to fuel your next great read!""",@CodeWithDubeyji,2024-12-31 13:00:00,"""Get lost in a world beyond your own! Discover new favorite authors, embark on thrilling adventures, and escape reality with our curated book picks. Follow us for book recommendations, author spotlights, and reading challenges to fuel your next great read!""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2024-12-31 13:00:00"", ""post_type"": ""video"", ""post_id"": 60, ""likes"": 183, ""shares"": 485, ""comments"": 89, ""views"": 12444}"
61,484,75,198,video,25571,"""Get ready for the ultimate rush! From thrilling touchdowns to record-breaking dunks, sports are the perfect way to live life on the edge. Who's your favorite team or player? Let's cheer them on together and make some unforgettable memories!""",@Dark-Knight499,2024-10-20 05:00:00,"""Get ready for the ultimate rush! From thrilling touchdowns to record-breaking dunks, sports are the perfect way to live life on the edge. Who's your favorite team or player? Let's cheer them on together and make some unforgettable memories!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-10-20 05:00:00"", ""post_type"": ""video"", ""post_id"": 61, ""likes"": 484, ""shares"": 75, ""comments"": 198, ""views"": 25571}"
62,614,280,84,video,42408,"""Get ready to groove! What's your favorite genre? Are you a 90s boyband fan or a chill indie listener? Share with us what kind of tunes get you moving and grooving! #MusicLover #FavoriteGenre #NewMusicAlert""",@CodeWithDubeyji,2025-01-06 09:00:00,"""Get ready to groove! What's your favorite genre? Are you a 90s boyband fan or a chill indie listener? Share with us what kind of tunes get you moving and grooving! #MusicLover #FavoriteGenre #NewMusicAlert""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2025-01-06 09:00:00"", ""post_type"": ""video"", ""post_id"": 62, ""likes"": 614, ""shares"": 280, ""comments"": 84, ""views"": 42408}"
63,687,11,1,video,31214,"""Getting lost in the melodies of my childhood, rediscovering the rhythms that shaped me into who I am today. What's your favorite nostalgic song that takes you back to a simpler time? Share with me! #MusicMemories #Nostalgia""",@Dark-Knight499,2024-10-12 22:00:00,"""Getting lost in the melodies of my childhood, rediscovering the rhythms that shaped me into who I am today. What's your favorite nostalgic song that takes you back to a simpler time? Share with me! #MusicMemories #Nostalgia""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-10-12 22:00:00"", ""post_type"": ""video"", ""post_id"": 63, ""likes"": 687, ""shares"": 11, ""comments"": 1, ""views"": 31214}"
64,946,84,184,live stream,10857,"""Get ready for the ultimate showdown! From record-breaking marathons to nail-biting basketball matches, the world of sports has something for everyone. Follow along as we count down the top 5 moments that left us breathless and inspired! Who's your favorite athlete? Share with us in the comments below!""",@GaneshMishra-lab,2024-11-11 07:00:00,"""Get ready for the ultimate showdown! From record-breaking marathons to nail-biting basketball matches, the world of sports has something for everyone. Follow along as we count down the top 5 moments that left us breathless and inspired! Who's your favorite athlete? Share with us in the comments below!""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-11-11 07:00:00"", ""post_type"": ""live stream"", ""post_id"": 64, ""likes"": 946, ""shares"": 84, ""comments"": 184, ""views"": 10857}"
65,210,259,143,video,47170,"""Just devoured the most mouth-watering Korean BBQ tacos at this hidden gem in town! Spicy Korean chili flakes, tender bulgogi beef, crispy kimchi slaw... need I say more? Who's craving international flavors tonight?""",@GaneshMishra-lab,2024-12-06 17:00:00,"""Just devoured the most mouth-watering Korean BBQ tacos at this hidden gem in town! Spicy Korean chili flakes, tender bulgogi beef, crispy kimchi slaw... need I say more? Who's craving international flavors tonight?""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-12-06 17:00:00"", ""post_type"": ""video"", ""post_id"": 65, ""likes"": 210, ""shares"": 259, ""comments"": 143, ""views"": 47170}"
66,614,485,27,video,28919,"""Get ready to tantalize your taste buds! I'm sharing my top-secret recipe for a mouth-watering Korean-Mexican fusion dish that will take your dinner game to the next level. Think spicy kimchi tacos, crispy bulgogi beef, and cilantro-lime rice - trust me, it's a flavor explosion you won't want to miss! #foodie #koreanmexican #fusionfood""",@Dark-Knight499,2024-11-15 01:00:00,"""Get ready to tantalize your taste buds! I'm sharing my top-secret recipe for a mouth-watering Korean-Mexican fusion dish that will take your dinner game to the next level. Think spicy kimchi tacos, crispy bulgogi beef, and cilantro-lime rice - trust me, it's a flavor explosion you won't want to miss! #foodie #koreanmexican #fusionfood""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-11-15 01:00:00"", ""post_type"": ""video"", ""post_id"": 66, ""likes"": 614, ""shares"": 485, ""comments"": 27, ""views"": 28919}"
67,428,407,260,live stream,36586,"""Confession time: I just devoured a piping hot waffle sandwich with crispy bacon, melted cheddar, and a drizzle of sweet maple syrup... and I'm still dreaming about that first bite Anyone else have a go-to brunch obsession?!""",@Dark-Knight499,2024-10-12 00:00:00,"""Confession time: I just devoured a piping hot waffle sandwich with crispy bacon, melted cheddar, and a drizzle of sweet maple syrup... and I'm still dreaming about that first bite Anyone else have a go-to brunch obsession?!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-10-12 00:00:00"", ""post_type"": ""live stream"", ""post_id"": 67, ""likes"": 428, ""shares"": 407, ""comments"": 260, ""views"": 36586}"
68,243,340,294,reels,29581,"""Get ready for the ultimate showdown! From record-breaking dunks to nail-biting comebacks, witness the thrill of sports like never before. Catch the latest highlights, behind-the-scenes action, and expert analysis on your favorite teams and athletes in our exclusive sports section!""",@CodeWithDubeyji,2024-11-22 06:00:00,"""Get ready for the ultimate showdown! From record-breaking dunks to nail-biting comebacks, witness the thrill of sports like never before. Catch the latest highlights, behind-the-scenes action, and expert analysis on your favorite teams and athletes in our exclusive sports section!""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2024-11-22 06:00:00"", ""post_type"": ""reels"", ""post_id"": 68, ""likes"": 243, ""shares"": 340, ""comments"": 294, ""views"": 29581}"
69,290,118,286,video,21092,"""Unlocking the Future: Discover how AI, blockchain, and robotics are revolutionizing industries from healthcare to space exploration! From self-healing materials to brain-computer interfaces, get ready for a tech-savvy world that's changing everything!""",@foodie_lover,2024-12-21 04:00:00,"""Unlocking the Future: Discover how AI, blockchain, and robotics are revolutionizing industries from healthcare to space exploration! From self-healing materials to brain-computer interfaces, get ready for a tech-savvy world that's changing everything!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-12-21 04:00:00"", ""post_type"": ""video"", ""post_id"": 69, ""likes"": 290, ""shares"": 118, ""comments"": 286, ""views"": 21092}"
70,961,269,283,carousel,26523,"""Get lost in the pages! Discover your new favorite novel, escape into a world of wonder, or learn something new - there's a book out there for everyone. Share with us your favorite book picks and why they're on your must-read list!""",@Dark-Knight499,2025-01-01 13:00:00,"""Get lost in the pages! Discover your new favorite novel, escape into a world of wonder, or learn something new - there's a book out there for everyone. Share with us your favorite book picks and why they're on your must-read list!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2025-01-01 13:00:00"", ""post_type"": ""carousel"", ""post_id"": 70, ""likes"": 961, ""shares"": 269, ""comments"": 283, ""views"": 26523}"
71,866,184,40,carousel,36559,"""Just devoured the most indulgent Korean BBQ tacos at my fave spot - spicy bulgogi beef, crispy kimchi slaw, cilantro lime rice...my taste buds are doing the happy dance Anyone else obsessed with fusion food?""",@GaneshMishra-lab,2024-12-18 16:00:00,"""Just devoured the most indulgent Korean BBQ tacos at my fave spot - spicy bulgogi beef, crispy kimchi slaw, cilantro lime rice...my taste buds are doing the happy dance Anyone else obsessed with fusion food?""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-12-18 16:00:00"", ""post_type"": ""carousel"", ""post_id"": 71, ""likes"": 866, ""shares"": 184, ""comments"": 40, ""views"": 36559}"
72,465,60,250,static image,13118,"""Get ready to ignite your taste buds! I stumbled upon this hidden gem of a bakery that serves the most divine Korean-style milk tea buns - soft, fluffy, and dripping with sweet, creamy goodness!""",@Dark-Knight499,2024-12-14 11:00:00,"""Get ready to ignite your taste buds! I stumbled upon this hidden gem of a bakery that serves the most divine Korean-style milk tea buns - soft, fluffy, and dripping with sweet, creamy goodness!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-12-14 11:00:00"", ""post_type"": ""static image"", ""post_id"": 72, ""likes"": 465, ""shares"": 60, ""comments"": 250, ""views"": 13118}"
73,760,80,10,carousel,10401,"""Get ready to sweat! Who's ready for the ultimate sports showdown? Join us as we count down the top 5 most epic comebacks in sports history - from David vs Goliath to underdog heroes rising to the top! #SportsObsessed #ComebackKings""",@tech_guru,2024-11-06 19:00:00,"""Get ready to sweat! Who's ready for the ultimate sports showdown? Join us as we count down the top 5 most epic comebacks in sports history - from David vs Goliath to underdog heroes rising to the top! #SportsObsessed #ComebackKings""","{""username"": ""@tech_guru"", ""datetime"": ""2024-11-06 19:00:00"", ""post_type"": ""carousel"", ""post_id"": 73, ""likes"": 760, ""shares"": 80, ""comments"": 10, ""views"": 10401}"
74,427,210,282,static image,23116,"""Get ready to level up! Discover how the latest advancements in AI, robotics, and virtual reality are revolutionizing industries from healthcare to entertainment. Join our conversation on the future of tech and what it means for our world!""",@music_fanatic,2024-10-06 18:00:00,"""Get ready to level up! Discover how the latest advancements in AI, robotics, and virtual reality are revolutionizing industries from healthcare to entertainment. Join our conversation on the future of tech and what it means for our world!""","{""username"": ""@music_fanatic"", ""datetime"": ""2024-10-06 18:00:00"", ""post_type"": ""static image"", ""post_id"": 74, ""likes"": 427, ""shares"": 210, ""comments"": 282, ""views"": 23116}"
75,969,374,150,reels,850,"""Get ready for the ultimate rush! What's your favorite sport to watch or play? From record-breaking athlete feats to heart-stopping comeback victories, we're diving into the world of sports. Who's your all-time champion? Share with us in the comments below!""",@GaneshMishra-lab,2025-01-07 17:00:00,"""Get ready for the ultimate rush! What's your favorite sport to watch or play? From record-breaking athlete feats to heart-stopping comeback victories, we're diving into the world of sports. Who's your all-time champion? Share with us in the comments below!""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2025-01-07 17:00:00"", ""post_type"": ""reels"", ""post_id"": 75, ""likes"": 969, ""shares"": 374, ""comments"": 150, ""views"": 850}"
76,120,443,25,reels,25882,"""Craving something sweet? I'm obsessed with this secret recipe for matcha tiramisu - a Japanese twist on the Italian classic that will satisfy your green tea cravings! Who's ready to try it out? #MatchaLove #FoodieFind #TiramisuObsessed""",@foodie_lover,2024-10-05 22:00:00,"""Craving something sweet? I'm obsessed with this secret recipe for matcha tiramisu - a Japanese twist on the Italian classic that will satisfy your green tea cravings! Who's ready to try it out? #MatchaLove #FoodieFind #TiramisuObsessed""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-10-05 22:00:00"", ""post_type"": ""reels"", ""post_id"": 76, ""likes"": 120, ""shares"": 443, ""comments"": 25, ""views"": 25882}"
77,408,63,282,static image,16188,"""Get lost in a world of wonder! Discover your new favorite book, dive into a captivating story, or escape reality for a moment. What's on your reading list? Share with me your fave books and let's get a book club going!""",@GaneshMishra-lab,2024-09-23 04:00:00,"""Get lost in a world of wonder! Discover your new favorite book, dive into a captivating story, or escape reality for a moment. What's on your reading list? Share with me your fave books and let's get a book club going!""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-09-23 04:00:00"", ""post_type"": ""static image"", ""post_id"": 77, ""likes"": 408, ""shares"": 63, ""comments"": 282, ""views"": 16188}"
78,182,452,248,carousel,7832,"""Just devoured the most mouthwatering Korean BBQ tacos at this hidden gem food truck! Spicy, sweet, and savory all in one incredible bite - trust me when I say you HAVE to try them!""",@CodeWithDubeyji,2024-12-06 12:00:00,"""Just devoured the most mouthwatering Korean BBQ tacos at this hidden gem food truck! Spicy, sweet, and savory all in one incredible bite - trust me when I say you HAVE to try them!""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2024-12-06 12:00:00"", ""post_type"": ""carousel"", ""post_id"": 78, ""likes"": 182, ""shares"": 452, ""comments"": 248, ""views"": 7832}"
79,656,356,295,static image,43798,"""Get lost in a world of wonder! Discover hidden gems, escape to far-off lands, and unleash your inner bookworm with us! Share your favorite book recommendations and let's get this literary adventure started!""",@music_fanatic,2024-12-30 10:00:00,"""Get lost in a world of wonder! Discover hidden gems, escape to far-off lands, and unleash your inner bookworm with us! Share your favorite book recommendations and let's get this literary adventure started!""","{""username"": ""@music_fanatic"", ""datetime"": ""2024-12-30 10:00:00"", ""post_type"": ""static image"", ""post_id"": 79, ""likes"": 656, ""shares"": 356, ""comments"": 295, ""views"": 43798}"
80,698,359,191,static image,33763,"""Get ready for the ultimate rush! From record-breaking wins to heartbreaking losses, sports are all about intensity, passion, and human triumph. Join me on a journey through the highs and lows of the world's greatest athletes - who will be the next champion? #SportsFever #GameOn""",@GaneshMishra-lab,2024-10-30 03:00:00,"""Get ready for the ultimate rush! From record-breaking wins to heartbreaking losses, sports are all about intensity, passion, and human triumph. Join me on a journey through the highs and lows of the world's greatest athletes - who will be the next champion? #SportsFever #GameOn""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-10-30 03:00:00"", ""post_type"": ""static image"", ""post_id"": 80, ""likes"": 698, ""shares"": 359, ""comments"": 191, ""views"": 33763}"
81,228,245,282,live stream,30790,"""Get ready for the ultimate showdown! From record-breaking dunks to championship wins, witness the adrenaline-fueled moments that make sports an electrifying experience. Share your favorite sports memories with us!""",@GaneshMishra-lab,2024-10-11 16:00:00,"""Get ready for the ultimate showdown! From record-breaking dunks to championship wins, witness the adrenaline-fueled moments that make sports an electrifying experience. Share your favorite sports memories with us!""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-10-11 16:00:00"", ""post_type"": ""live stream"", ""post_id"": 81, ""likes"": 228, ""shares"": 245, ""comments"": 282, ""views"": 30790}"
82,11,50,264,live stream,10529,"""Get ready for the ultimate showdown! Who's ready to cheer on their favorite team as we count down the top 5 most thrilling sporting moments of all time? From record-breaking runs to jaw-dropping comebacks, we're taking a look at the most epic sports moments that will leave you breathless! Share your own favorite sports moment in the comments below!""",@foodie_lover,2024-11-01 22:00:00,"""Get ready for the ultimate showdown! Who's ready to cheer on their favorite team as we count down the top 5 most thrilling sporting moments of all time? From record-breaking runs to jaw-dropping comebacks, we're taking a look at the most epic sports moments that will leave you breathless! Share your own favorite sports moment in the comments below!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-11-01 22:00:00"", ""post_type"": ""live stream"", ""post_id"": 82, ""likes"": 11, ""shares"": 50, ""comments"": 264, ""views"": 10529}"
83,979,485,249,video,49616,"""Get ready for a cinematic explosion! What's your go-to movie genre? Are you a rom-com fanatic, an action junkie, or a thrill-seeker? Let me know in the comments below! Share with me your favorite films that never fail to leave you on the edge of your seat or laughing out loud #MovieLovers #FilmFrenzy""",@Dark-Knight499,2024-11-18 15:00:00,"""Get ready for a cinematic explosion! What's your go-to movie genre? Are you a rom-com fanatic, an action junkie, or a thrill-seeker? Let me know in the comments below! Share with me your favorite films that never fail to leave you on the edge of your seat or laughing out loud #MovieLovers #FilmFrenzy""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-11-18 15:00:00"", ""post_type"": ""video"", ""post_id"": 83, ""likes"": 979, ""shares"": 485, ""comments"": 249, ""views"": 49616}"
84,873,480,272,carousel,36808,"""Lost in a sea of melodies, I find my escape. Music has a way of transporting me to another world, where emotions run deep and memories unfold. What's your favorite song that takes you on an unforgettable journey?""",@tech_guru,2024-11-05 17:00:00,"""Lost in a sea of melodies, I find my escape. Music has a way of transporting me to another world, where emotions run deep and memories unfold. What's your favorite song that takes you on an unforgettable journey?""","{""username"": ""@tech_guru"", ""datetime"": ""2024-11-05 17:00:00"", ""post_type"": ""carousel"", ""post_id"": 84, ""likes"": 873, ""shares"": 480, ""comments"": 272, ""views"": 36808}"
85,454,316,250,video,45027,"""Get ready for game day! From slam dunks to record-breaking runs, the world of sports has something for everyone. Follow along as we bring you the latest news, expert analysis, and behind-the-scenes stories from your favorite teams and athletes. Who's your ultimate team spirit? Let us know in the comments!""",@tech_guru,2024-12-09 11:00:00,"""Get ready for game day! From slam dunks to record-breaking runs, the world of sports has something for everyone. Follow along as we bring you the latest news, expert analysis, and behind-the-scenes stories from your favorite teams and athletes. Who's your ultimate team spirit? Let us know in the comments!""","{""username"": ""@tech_guru"", ""datetime"": ""2024-12-09 11:00:00"", ""post_type"": ""video"", ""post_id"": 85, ""likes"": 454, ""shares"": 316, ""comments"": 250, ""views"": 45027}"
86,51,333,234,video,23601,"""Get ready to level up! The latest tech advancements are revolutionizing the way we live, work, and play. From AI-powered robots to virtual reality experiences, the future of tech is here and it's more exciting than ever! What's your favorite emerging tech trend? Share with us in the comments below!""",@CodeWithDubeyji,2024-12-19 18:00:00,"""Get ready to level up! The latest tech advancements are revolutionizing the way we live, work, and play. From AI-powered robots to virtual reality experiences, the future of tech is here and it's more exciting than ever! What's your favorite emerging tech trend? Share with us in the comments below!""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2024-12-19 18:00:00"", ""post_type"": ""video"", ""post_id"": 86, ""likes"": 51, ""shares"": 333, ""comments"": 234, ""views"": 23601}"
87,349,120,282,carousel,42522,"""Get lost in a world of wonder! Discover hidden gems, escape reality, and fall in love with your new favorite book. Share with us your go-to page-turners or what's on your reading wishlist! Let's get this book club started!""",@foodie_lover,2024-11-13 23:00:00,"""Get lost in a world of wonder! Discover hidden gems, escape reality, and fall in love with your new favorite book. Share with us your go-to page-turners or what's on your reading wishlist! Let's get this book club started!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-11-13 23:00:00"", ""post_type"": ""carousel"", ""post_id"": 87, ""likes"": 349, ""shares"": 120, ""comments"": 282, ""views"": 42522}"
88,825,78,116,carousel,37923,"""Indulge in the taste of paradise! Just discovered a game-changing recipe that will transport your senses to the Mediterranean - crispy falafel, creamy tzatziki sauce, and warm pita bread all come together in perfect harmony. Who's ready for a flavor explosion? #foodie #mediterranean cuisine #yum""",@foodie_lover,2025-01-04 04:00:00,"""Indulge in the taste of paradise! Just discovered a game-changing recipe that will transport your senses to the Mediterranean - crispy falafel, creamy tzatziki sauce, and warm pita bread all come together in perfect harmony. Who's ready for a flavor explosion? #foodie #mediterranean cuisine #yum""","{""username"": ""@foodie_lover"", ""datetime"": ""2025-01-04 04:00:00"", ""post_type"": ""carousel"", ""post_id"": 88, ""likes"": 825, ""shares"": 78, ""comments"": 116, ""views"": 37923}"
